A+,509,93,1-24-2005
F,183,24,1-23-2010
C,207,70,1-21-2018
B,245,84,1-21-2019
B,450,86,1-21-2019
B,143,25,1-24-2007
F,32,6,1-21-2017
D,124,0,1-24-2007
F,370,2,1-23-2012
C,891,86,1-20-2023
C,210,38,1-20-2024
A+,296,15,1-21-2018
D,71,73,1-22-2016
D,73,70,1-23-2012
F,691,76,1-21-2018
A,653,63,1-21-2018
D,480,62,1-24-2006
C,751,15,1-22-2016
A,181,81,1-23-2011
C,265,57,1-25-2004
A,74,81,1-24-2006
A,615,14,1-22-2013
B,881,76,1-20-2024
F,858,75,1-20-2022
C,211,59,1-24-2007
F,592,46,1-21-2019
C,815,59,1-23-2011
A+,839,94,1-22-2016
F,987,21,1-24-2008
A,702,13,1-24-2005
F,8,28,1-23-2010
F,699,88,1-21-2017
B,594,2,1-22-2013
A+,606,67,1-21-2020
C,245,1,1-24-2008
F,72,44,1-22-2014
B,756,61,1-24-2007
D,952,41,1-21-2019
C,500,28,1-22-2016
A,251,81,1-22-2013
C,972,28,1-20-2024
A+,106,33,1-20-2023
C,755,79,1-24-2008
B,464,60,1-23-2011
F,129,89,1-24-2008
F,629,37,1-20-2022
A+,152,80,1-21-2020
A,480,16,1-20-2023
B,587,45,1-23-2011
B,139,75,1-23-2010
A,359,64,1-21-2019
B,152,85,1-22-2014
D,964,27,1-22-2014
D,983,7,1-23-2010
C,895,92,1-22-2013
C,102,36,1-24-2006
B,261,34,1-24-2005
F,538,83,1-21-2018
A+,47,51,1-21-2017
A,449,73,1-22-2014
C,802,72,1-24-2006
D,483,13,1-22-2015
D,891,58,1-23-2009
C,240,94,1-21-2018
D,581,91,1-24-2007
C,939,1,1-21-2019
A+,41,17,1-21-2019
D,896,90,1-21-2020
A,166,22,1-23-2011
A+,365,27,1-21-2018
A+,765,72,1-23-2009
A+,458,16,1-20-2022
F,470,84,1-24-2008
A+,343,72,1-21-2017
A+,228,9,1-23-2009
A,202,40,1-24-2005
A+,150,82,1-21-2017
F,951,1,1-22-2015
D,119,49,1-20-2024
A,658,52,1-24-2007
B,626,48,1-24-2006
B,755,81,1-24-2008
D,409,2,1-21-2018
A,788,95,1-22-2013
D,620,7,1-20-2023
F,114,64,1-23-2011
C,353,64,1-24-2005
A+,863,8,1-25-2004
A,910,88,1-20-2021
D,95,81,1-23-2010
C,151,31,1-25-2004
F,74,94,1-23-2012
F,107,52,1-20-2022
D,706,12,1-22-2015
F,984,46,1-23-2009
F,713,66,1-22-2013
B,265,7,1-22-2014
B,978,5,1-22-2013
F,558,43,1-23-2009
F,244,72,1-23-2010
F,263,48,1-21-2020
B,505,39,1-21-2020
A+,812,25,1-24-2008
B,176,95,1-23-2011
A+,549,8,1-23-2009
C,920,8,1-24-2008
A,169,50,1-21-2020
F,636,80,1-23-2012
A+,43,26,1-21-2018
F,21,6,1-24-2006
A+,835,47,1-24-2005
C,277,32,1-20-2024
C,793,36,1-21-2020
A+,493,1,1-23-2011
F,271,33,1-22-2013
A,188,33,1-22-2016
A,411,22,1-20-2021
C,315,63,1-21-2017
B,358,40,1-20-2023
B,888,14,1-23-2012
A,409,73,1-24-2005
A+,768,44,1-21-2019
A+,35,75,1-24-2007
D,182,51,1-25-2004
A+,353,39,1-20-2022
A+,704,32,1-21-2019
A+,161,44,1-21-2020
A,261,89,1-24-2008
F,142,41,1-22-2015
A,172,79,1-21-2018
B,598,39,1-21-2019
D,110,66,1-21-2019
A+,958,26,1-20-2021
B,901,4,1-21-2020
D,815,25,1-25-2004
B,498,15,1-24-2008
B,811,29,1-22-2015
A+,185,90,1-22-2016
B,149,7,1-21-2018
D,926,37,1-23-2012
C,662,32,1-22-2014
A+,342,69,1-21-2020
A,371,81,1-24-2005
B,699,56,1-20-2021
A,263,50,1-23-2010
D,208,37,1-20-2023
C,302,46,1-24-2005
B,539,4,1-20-2024
A,295,59,1-21-2017
D,420,28,1-23-2011
A,43,57,1-21-2020
A,53,39,1-24-2008
C,493,88,1-23-2009
A+,241,22,1-23-2009
A+,532,89,1-20-2021
F,0,47,1-22-2014
A,559,28,1-23-2012
A,290,14,1-24-2006
A+,673,40,1-23-2009
A+,735,87,1-24-2007
B,694,10,1-20-2022
B,446,77,1-22-2016
A,308,82,1-21-2018
D,500,43,1-20-2021
F,948,3,1-23-2012
D,586,94,1-22-2013
A+,586,81,1-24-2008
A+,28,29,1-22-2014
A+,827,60,1-22-2014
F,448,52,1-21-2017
D,607,78,1-24-2006
A,493,46,1-23-2012
B,355,84,1-23-2010
B,316,60,1-21-2018
D,77,71,1-24-2006
F,535,91,1-23-2011
A+,669,17,1-21-2018
A+,91,1,1-23-2009
C,440,11,1-23-2012
F,497,2,1-21-2017
A+,74,88,1-22-2015
C,929,57,1-22-2015
C,460,6,1-20-2023
D,518,40,1-24-2006
C,467,35,1-21-2020
A+,155,20,1-23-2009
B,477,27,1-22-2015
D,598,26,1-25-2004
C,394,6,1-23-2009
A+,297,52,1-22-2015
F,854,63,1-21-2017
A+,394,69,1-21-2020
A+,453,59,1-23-2011
A+,138,4,1-23-2009
C,573,47,1-21-2018
F,161,63,1-21-2018
C,971,51,1-20-2022
B,260,17,1-21-2018
F,200,24,1-22-2013
C,603,57,1-24-2006
C,376,36,1-21-2017
B,614,92,1-21-2020
F,476,18,1-22-2014
F,429,59,1-20-2022
A,311,42,1-22-2014
A+,164,26,1-21-2018
A+,903,24,1-20-2022
A,900,3,1-23-2010
D,495,88,1-20-2024
B,918,1,1-22-2013
F,167,42,1-22-2015
C,939,52,1-22-2016
C,354,43,1-24-2006
B,942,12,1-20-2022
